global_idx,sentence,verb,recipient,rec.pron,theme,theme.pron,verb_lemma,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,babylm-default_ratio,babylm-balanced_ratio,loose-balanced_ratio,loose-default_ratio,removed_ratio,conti
1874,You just leave me a note to remind me.,leave,me,p,a note to remind me,n,leave,VB,2,you,PRP,PRON,3,NN,NOUN,4,,,10,dative,alternating/benefactive_alternating,You just leave a note to remind me for me.,0.3701546192,0.5682806969,0.3394832611,0.320956707,-0.0158877372741699,1
7409,"Mother, on Christmas Day I'm going to tie a Christmas card round Frisk's neck, and send him into papa's dressing-room to wish him a Merry Christmas, the first thing in the morning--you won't tell him before the time, will you? '",wish,him,p,a merry christmas,n,wish,VB,26,,PRP,PRON,27,NNP,PROPN,28,,,50,dative,do_only,"Mother, on Christmas Day I'm going to tie a Christmas card round Frisk's neck, and send him into papa's dressing-room to wish a merry christmas to him, the first thing in the morning--you won't tell him before the time, will you? '",0.1216638088,0.03552985191,0.06368780136,0.09536290169,0.0468647480010986,1
7706,"Mr McQueen went into the house with a heavy heart, and told his wife the bad news.",told,his wife,n,the bad news,n,tell,VBD,12,,NN,NOUN,13,NN,NOUN,15,,,19,dative,alternating,"Mr McQueen went into the house with a heavy heart, and told the bad news to his wife.",-0.0503013134,-0.1507184505,-0.2281246185,-0.009920835495,-0.0250730514526367,1
6569,"Kwa-Sind told his hate to Wah-bee-noh, who was a medicine man an’ juggler, an’ agreed that he would give Wah-bee-noh twenty ponies to make the Swallow again as he was so that the Sioux would laugh at him an’ call him Shau-goh-dah-wah, the Coward.",give,wah-bee-noh,n,twenty ponies,n,give,VB,22,he,NNP,PROPN,23,NNS,NOUN,24,,,51,dative,alternating,"Kwa-Sind told his hate to Wah-bee-noh, who was a medicine man an’ juggler, an’ agreed that he would give twenty ponies to Wah-bee-noh to make the Swallow again as he was so that the Sioux would laugh at him an’ call him Shau-goh-dah-wah, the Coward.",-0.05644178391,-0.0501127243,-0.04358768463,0.02206993103,0.0348405838012695,1
5181,"""Make him a dish of kheer (rice cooked with milk and sugar); and besides this, to please him, another dish of pearls. """,Make,him,p,a dish of kheer ( rice cooked with milk and sugar ),n,make,VB,1,,PRP,PRON,2,NN,NOUN,3,,,30,dative,do_only/benefactive_alternating,"""Make a dish of kheer ( rice cooked with milk and sugar ) for him; and besides this, to please him, another dish of pearls. """,-0.142332077,-0.07881593704,0.09117984772,-0.05437374115,-0.0138282775878906,1
16971,"Fatima, give me a fudge sundae.",give,me,p,a fudge sundae,n,give,VB,2,,PRP,PRON,3,NN,NOUN,4,,,8,dative,alternating,"Fatima, give a fudge sundae to me.",0.1537394524,-0.2863521576,-0.4883875847,-0.007152557373,0.4296269416809082,1
14845,"Surrounded by people who adore you, people who might tell this girl heart-tugging stories about how you inspired their sons to join the navy.",tell,this girl,n,heart-tugging stories about how you inspired their sons to join the navy,n,tell,VB,10,who,NN,NOUN,11,NNS,NOUN,13,,,26,dative,alternating,"Surrounded by people who adore you, people who might tell heart-tugging stories about how you inspired their sons to join the navy to this girl.",-0.01907730103,-0.009384155273,0.08279275894,0.05348968506,0.0424046516418457,1
640,you gave me the mixed up alien there.,gave,me,p,the mixed up alien,n,give,VBD,1,you,PRP,PRON,2,NN,NOUN,3,,,9,dative,alternating,you gave the mixed up alien to me there.,0.186401844,0.1744198799,-0.5547304153,0.3207387924,-0.0765767097473144,1
17795,"You gave yourself a great name such as Jiraiya, but you can't fool me!",gave,yourself,p,a great name such as jiraiya,n,give,VBD,1,you,PRP,PRON,2,NN,NOUN,3,,,17,dative,alternating,"You gave a great name such as jiraiya to yourself, but you can't fool me!",0.2616488934,0.0742623806,0.02088284492,0.3468487263,-0.0575129985809326,1
14466,Do me proud and show me your moves.,show,me,p,your moves,n,show,VB,4,,PRP,PRON,5,NNS,NOUN,6,,,9,dative,alternating,Do me proud and show your moves to me.,0.4815340042,0.2524261475,-0.08520650864,0.6497154236,0.2003650665283203,1
22736,"France gave Mali the names ""French Sudan"" and the ""Sudanese Republic"".",gave,mali,n,"the names "" french sudan "" and the "" sudanese republic """,n,give,VBD,1,france,NNP,PROPN,2,NNS,NOUN,3,,,16,dative,alternating,"France gave the names "" french sudan "" and the "" sudanese republic "" to Mali.",-0.5976233482,-0.7088956833,-0.3285007477,-0.2172694206,-0.3741192817687988,1
4510,I told you the truth when I said I did not know why I thought of you before all others.,told,you,p,the truth,n,tell,VBD,1,i,PRP,PRON,2,NN,NOUN,3,,,21,dative,alternating,I told the truth to you when I said I did not know why I thought of you before all others.,0.08901929855,-0.01733899117,-0.1690878868,-0.04957461357,0.0410351753234863,1
24193,"As a sophomore, his tackle total declined to 56, but his 764 receiving yards earned him 27 major Division I scholarship offers.",earned,him,p,27 major division i scholarship offers,n,earn,VBD,16,his 764 receiving yards,PRP,PRON,17,NNS,NOUN,18,,,25,dative,benefactive_alternating,"As a sophomore, his tackle total declined to 56, but his 764 receiving yards earned 27 major division i scholarship offers for him.",-0.04491710663,-0.03759908676,0.09805965424,-0.09314346313,-0.0642075538635253,1
5649,"Colonization had at first been regarded as a possible solution of the race problem; money was now given, however, ""rather as an aid to the establishment of a model Negro republic in Africa, whose effort would be to discourage the slave-trade, and encourage energy and thrift among those free Negroes from the United States who chose to emigrate, and to give native Africans a demonstration of the advantages of civilization.",give,native africans,n,a demonstration of the advantages of civilization,n,give,VB,67,,NNPS,PROPN,68,NN,NOUN,70,,,78,dative,alternating,"Colonization had at first been regarded as a possible solution of the race problem; money was now given, however, ""rather as an aid to the establishment of a model Negro republic in Africa, whose effort would be to discourage the slave-trade, and encourage energy and thrift among those free Negroes from the United States who chose to emigrate, and to give a demonstration of the advantages of civilization to native Africans.",-0.06499242783,-0.1159071922,-0.1268053055,-0.04323720932,-0.0427446365356445,1
16352,I send him my de Hory book.,send,him,p,my de hory book,n,send,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,8,dative,alternating,I send my de hory book to him.,-0.308110714,-0.4922161102,-0.6467962265,-0.8273844719,-0.4204459190368652,1
9621,"He showed me the sights, we popped into The Green Tree...",showed,me,p,the sights,n,show,VBD,1,he,PRP,PRON,2,NNS,NOUN,3,,,15,dative,alternating,"He showed the sights to me, we popped into The Green Tree...",0.07374238968,-0.01922464371,0.03910684586,0.2509412766,-0.0892567634582519,1
5007,This spicily-scented blossom told him an exciting story of intrigue and adventure in high places.,told,him,p,an exciting story of intrigue and adventure in high places,n,tell,VBD,3,this spicily-scented blossom,PRP,PRON,4,NN,NOUN,5,,,16,dative,alternating,This spicily-scented blossom told an exciting story of intrigue and adventure in high places to him.,0.1317067146,-0.3042931557,-0.2901911736,0.03453731537,0.0233097076416015,1
23091,"However, the government did not give him any punishment as a criminal.",give,him,p,any punishment as a criminal,n,give,VB,6,the government,PRP,PRON,7,NN,NOUN,8,,,14,dative,alternating,"However, the government did not give any punishment as a criminal to him.",0.595097065,0.4003415108,0.3247973919,0.5218524933,0.3360724449157715,1
18107,"Miss Clements, I'm sorry to have to tell you this... but to be perfectly blunt... your father's name will never go up on that wall.",tell,you,p,this,i,tell,VB,9,,PRP,PRON,10,DT,PRON,11,,,35,dative,alternating,"Miss Clements, I'm sorry to have to tell this to you... but to be perfectly blunt... your father's name will never go up on that wall.",-0.08025407791,-0.04064154625,0.08883452415,0.0647521019,0.1281647682189941,1
10618,I forgot to get Charles anything.,get,charles,n,anything,n,get,VB,3,,NNP,PROPN,4,NN,PRON,5,,,7,dative,benefactive_alternating,I forgot to get anything for Charles.,-0.3177108765,-1.125483513,-0.7899355888,-0.7416143417,-1.0620121955871582,1
259,better give papa some bread and butter eve.,give,papa,n,some bread and butter,n,give,VB,1,,NNP,PROPN,2,NN,NOUN,3,,,9,dative,alternating,better give some bread and butter to papa eve.,-0.3077845573,-0.8214211464,-0.7991361618,-0.7136077881,-0.2336997985839843,1
9811,Just give the rope a little bit of a shake.,give,the rope,n,a little bit of a shake,n,give,VB,1,,NN,NOUN,2,NN,NOUN,4,,,11,dative,alternating,Just give a little bit of a shake to the rope.,0.4618749619,-0.1344575882,-0.1302919388,-0.1082377434,-0.6282856464385986,1
11109,"¤ If I was a bright star, I'd tell them to bring us luck, both of them altogether.",bring,us,p,luck,n,bring,VB,13,,PRP,PRON,14,NN,NOUN,15,,,22,dative,alternating,"¤ If I was a bright star, I'd tell them to bring luck to us, both of them altogether.",-0.1658022404,-0.2730090618,-0.1181156635,-0.01720380783,-0.1617879867553711,1
23328,I wish you good luck.,wish,you,p,good luck,n,wish,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,6,dative,do_only,I wish good luck to you.,0.5621371269,0.3893432617,0.049503088,0.3594658375,-0.3766427040100097,1
10146,"Unni, you lent Myeong Soo Oppa money?",lent,myeong soo oppa,n,money,n,lend,VBD,3,you,NNP,PROPN,4,NN,NOUN,7,,,9,dative,alternating,"Unni, you lent money to Myeong Soo Oppa?",-1.057973385,-1.366143703,-1.568071842,-1.236835957,-1.1601247787475586,1
995,i give you a bite of this one.,give,you,p,a bite of this one,n,give,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,9,dative,alternating,i give a bite of this one to you.,0.8190178871,-0.1495058537,0.1893222332,0.3102719784,0.1653909683227539,1
7447,"If you can tell me anything which does away with the difficulty, this is the time to tell it.",tell,me,p,anything which does away with the difficulty,n,tell,VB,3,you,PRP,PRON,4,NN,PRON,5,,,21,dative,alternating,"If you can tell anything which does away with the difficulty to me, this is the time to tell it.",0.2269091606,0.212012291,-0.01485848427,0.4002723694,0.1864924430847168,1
668,did you bring your teacher a present yesterday.,bring,your teacher,n,a present,n,bring,VB,2,you,NN,NOUN,3,NN,NOUN,5,,,9,dative,alternating,did you bring a present to your teacher yesterday.,-0.02754163742,-0.1727747917,-0.4032478333,-0.3991420269,-0.3935146331787109,1
15760,Gave me a medal.,Gave,me,p,a medal,n,give,VBD,0,,PRP,PRON,1,NN,NOUN,2,,,5,dative,alternating,Gave a medal to me.,0.7044243813,-0.5690491199,-0.7026906013,0.6508426666,0.9492173194885254,1
18515,"""When I pine, she gives me succour... """,gives,me,p,succour,n,give,VBZ,6,she,PRP,PRON,7,NN,NOUN,8,,,13,dative,alternating,"""When I pine, she gives succour to me... """,-0.1993632317,-0.2679810524,-0.1023983955,-0.00366973877,-0.1021404266357421,1
10305,"To ignore the facts, give you the benefit of the doubt.",give,you,p,the benefit of the doubt,n,give,VB,5,,PRP,PRON,6,NN,NOUN,7,,,13,dative,alternating,"To ignore the facts, give the benefit of the doubt to you.",0.2391216755,-0.02812743187,-0.001018285751,0.3965961933,-0.117250919342041,1
3925,He used to hear our lessons and tell us splendid stories and saw that we always said our prayers.,tell,us,p,splendid stories,n,tell,VB,7,,PRP,PRON,8,NNS,NOUN,9,,,20,dative,alternating,He used to hear our lessons and tell splendid stories to us and saw that we always said our prayers.,0.2010836601,-0.2780799866,-0.03789424896,-0.0404882431,0.2111144065856933,1
10127,Give us one more bottle here please.,Give,us,p,one more bottle,n,give,VB,0,,PRP,PRON,1,NN,NOUN,2,,,8,dative,alternating,Give one more bottle to us here please.,0.7092828751,-0.3380889893,-0.07766962051,0.5912241936,0.7436203956604004,1
1583,"Because if we actually can address th those real concerns, you know, you know  the point that brother  just made about why should he leave you to join unison  try and crystallize that out in a Northumberland way, if that's possible, it may not be, it may be difficult on, on a short punchy A five leaflet  it will probably service because I mean it c it can be photocopied, there's nothing wonderful, I mean it doesn't have to be sort of the most wonderful printing techniques and giving them desktop publishing.",giving,them,p,desktop publishing,n,give,VBG,103,,PRP,PRON,104,NN,NOUN,105,,,108,dative,alternating,"Because if we actually can address th those real concerns, you know, you know  the point that brother  just made about why should he leave you to join unison  try and crystallize that out in a Northumberland way, if that's possible, it may not be, it may be difficult on, on a short punchy A five leaflet  it will probably service because I mean it c it can be photocopied, there's nothing wonderful, I mean it doesn't have to be sort of the most wonderful printing techniques and giving desktop publishing to them.",-0.01352262497,0.004757404327,-0.02250909805,0.007971286774,-0.0033178329467773,1
22098,She gives the knight a year and a day to find out what women really want.,gives,the knight,n,a year and a day to find out what women really want,n,give,VBZ,1,she,NN,NOUN,2,NN,NOUN,4,,,17,dative,alternating,She gives a year and a day to find out what women really want to the knight.,0.8397121429,0.3672528267,1.032785177,0.718183279,0.5625100135803223,1
17906,-You were about to tell me your theory.,tell,me,p,your theory,n,tell,VB,4,,PRP,PRON,5,NN,NOUN,6,,,9,dative,alternating,-You were about to tell your theory to me.,0.4519650936,0.4381170273,0.346262455,0.2618889809,0.5224153995513916,1
824,do you wanna read me another book?,read,me,p,another book,n,read,VB,3,you,PRP,PRON,4,NN,NOUN,5,,,8,dative,alternating,do you wanna read another book to me?,-0.1023557186,-0.4616074562,-0.2006049156,-0.1581661701,-0.4321255683898926,1
18736,I wish you luck.,wish,you,p,luck,n,wish,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,5,dative,do_only,I wish luck to you.,1.307504177,0.4768912792,-0.05994462967,1.265286446,-0.3373341560363769,1
4271,"But you counted on the prince’s, gratitude towards Pavlicheff; you never lent him any money; he owes you nothing; then what were you counting upon if not on his gratitude?",lent,him,p,any money,n,lend,VBD,14,you,PRP,PRON,15,NN,NOUN,16,,,36,dative,alternating,"But you counted on the prince’s, gratitude towards Pavlicheff; you never lent any money to him; he owes you nothing; then what were you counting upon if not on his gratitude?",-0.03017139435,-0.08026504517,-0.07787179947,-0.1148247719,-0.0160598754882812,1
4050,"`` I do n't know much about sickness, '' spoke up Frances firmly, `` but if to sit by the child and give him his medicine regularly is all that is necessary, I am sure I can do that.",give,him,p,his medicine,n,give,VB,26,,PRP,PRON,27,NN,NOUN,28,,,45,dative,alternating,"`` I do n't know much about sickness, '' spoke up Frances firmly, `` but if to sit by the child and give his medicine to him regularly is all that is necessary, I am sure I can do that.",0.05285739899,-0.04220223427,0.04164147377,0.1037707329,0.0574667453765869,1
15409,I gave you something and you threw it away.,gave,you,p,something,n,give,VBD,1,i,PRP,PRON,2,NN,PRON,3,,,10,dative,alternating,I gave something to you and you threw it away.,0.2013237476,-0.1671743393,-0.4772965908,0.1794729233,0.1254961490631103,1
11550,You taught me that.,taught,me,p,that,n,teach,VBD,1,you,PRP,PRON,2,DT,PRON,3,,,5,dative,alternating,You taught that to me.,-0.05944442749,-0.1181049347,-0.0436167717,0.2105238438,0.7827870845794678,1
12709,You got me a job and a house lt's a friend's duty to help a friend,got,me,p,a job and a house lt's a friend's duty to help a friend,n,get,VBD,1,you,PRP,PRON,2,NN,NOUN,3,,,18,dative,benefactive_alternating,You got a job and a house lt's a friend's duty to help a friend for me,0.1895945072,0.1576132774,0.2115991116,0.2301268578,-0.0130970478057861,1
16441,Let me tell you something.,tell,you,p,something,n,tell,VB,2,me,PRP,PRON,3,NN,PRON,4,,,6,dative,alternating,Let me tell something to you.,1.100432158,0.2777781487,0.1070625782,0.9575426579,1.1776354312896729,1
10738,I've just sent you everything I found on Strucker's location.,sent,you,p,everything i found on strucker's location,n,send,VBN,3,i,PRP,PRON,4,NN,PRON,5,,,13,dative,alternating,I've just sent everything i found on strucker's location to you.,0.002828359604,-0.1180596352,-0.1406273842,-0.08931016922,-0.1209139823913574,1
15199,ONCE BODEY GIVES YOU A LITTLE,GIVES,you,p,a little,n,give,VBZ,2,bodey,PRP,PRON,3,NN,NOUN,4,,,6,dative,alternating,ONCE BODEY GIVES a little to YOU,0.500931263,-0.02595567703,-0.1383743286,0.4296603203,-0.269632339477539,1
1962,I'll tell you one that isn't too rude.,tell,you,p,one that is n't too rude,n,tell,VB,2,i,PRP,PRON,3,NN,NOUN,4,,,11,dative,alternating,I'll tell one that isn't too rude to you.,0.4590060711,0.1542096138,0.3999605179,0.2654736042,0.3372561931610107,1
9455,You're denying me a party?,denying,me,p,a party,n,deny,VBG,2,you,PRP,PRON,3,NN,NOUN,4,,,7,dative,do_only,You're denying a party to me?,0.553488493,-0.2630460262,-0.3502366543,0.2707383633,-0.3674526214599609,1
1311,Shows you that.,Shows,you,p,that,n,show,VBZ,0,,PRP,PRON,1,DT,PRON,2,,,5,dative,alternating,Shows that to you.,-0.4535775185,0.1911740303,-0.3034300804,-0.2218403816,-0.1459274291992187,1
13798,Why don't you ask him that yourself?,ask,him,p,that,n,ask,VB,4,you,PRP,PRON,5,DT,PRON,6,,,9,dative,alternating,Why don't you ask that to him yourself?,0.4312911034,0.3138766289,-0.2287032604,0.322003603,0.4072418212890625,1
17758,"Just give me a minute, will you?",give,me,p,a minute,n,give,VB,1,,PRP,PRON,2,NN,NOUN,3,,,9,dative,alternating,"Just give a minute to me, will you?",0.9967224598,0.1337006092,-0.01710510254,1.101309061,0.3081028461456299,1
5128,"On this Abul discovered that the King had been playing a practical joke on him, and he said: ""O King, you have given me much misery. """,given,me,p,much misery,n,give,VBN,26,you,PRP,PRON,27,NN,NOUN,28,,,32,dative,alternating,"On this Abul discovered that the King had been playing a practical joke on him, and he said: ""O King, you have given much misery to me. """,-0.09634828568,-0.07958912849,-0.06636452675,0.03190684319,-0.0314555168151855,1
18754,tell me the truth,tell,me,p,the truth,n,tell,VB,0,,PRP,PRON,1,NN,NOUN,2,,,4,dative,alternating,tell the truth to me,0.8906867504,-0.285923481,-0.8683879375,0.8198812008,0.1905455589294433,1
762,who gave you that?,gave,you,p,that,n,give,VBD,1,who,PRP,PRON,2,DT,PRON,3,,,5,dative,alternating,who gave that to you?,-0.4071643353,-0.4708924294,-0.3848161697,-0.2680029869,0.1511521339416504,1
19635,"Come on, sir, give us a penny!",give,us,p,a penny,n,give,VB,5,,PRP,PRON,6,NN,NOUN,7,,,10,dative,alternating,"Come on, sir, give a penny to us!",0.234995842,-0.1608512402,-0.3732419014,0.2875869274,0.0282001495361328,1
16483,"No, you gave me a photo.",gave,me,p,a photo,n,give,VBD,3,you,PRP,PRON,4,NN,NOUN,5,,,8,dative,alternating,"No, you gave a photo to me.",0.2154390812,-0.2069442272,-0.3181724548,0.3583090305,-0.0224885940551757,1
3264,"Her parents were very much vexed when the old man came back and told them this, but as soon as the three months of the Prince 's enchantment were over, he ceased to be an eagle and became once more a man, and they returned home together.",told,them,p,this,i,tell,VBD,13,,PRP,PRON,14,DT,PRON,15,,,51,dative,alternating,"Her parents were very much vexed when the old man came back and told this to them, but as soon as the three months of the Prince 's enchantment were over, he ceased to be an eagle and became once more a man, and they returned home together.",0.05730652809,-0.06938290596,-0.06962418556,0.0336151123,0.0246326923370361,1
22819,"People can use newspapers to give a coded message to their loved one, giving other readers a view of the couples' intimacy with one another.",giving,other readers,n,a view of the couples ' intimacy with one another,n,give,VBG,14,,NNS,NOUN,15,NN,NOUN,17,,,28,dative,alternating,"People can use newspapers to give a coded message to their loved one, giving a view of the couples ' intimacy with one another to other readers.",0.05258893967,0.01138019562,-0.03398180008,0.02924537659,-0.058938980102539,1
25638,"Singing cowboy Gene Autry (Gene Autry) and his fellow ranchers in Whippasaw are outraged to learn that the purchasing agent for the Grantley B. Johnson Packing Co., Thomas McCoy (Edmund MacDonald), is only offering them $65 per head of cattle.",offering,them,p,$ 65 per head of cattle,n,offer,VBG,39,"the purchasing agent for the grantley b. johnson packing co. , thomas mccoy ( edmund macdonald )",PRP,PRON,40,CD,NUM,41,,,48,dative,alternating,"Singing cowboy Gene Autry (Gene Autry) and his fellow ranchers in Whippasaw are outraged to learn that the purchasing agent for the Grantley B. Johnson Packing Co., Thomas McCoy (Edmund MacDonald), is only offering $65 per head of cattle to them.",-0.07199954987,-0.1736292839,-0.1364798546,-0.05046463013,-0.1176538467407226,1
14503,It might buy him enough time for the ambulance to show up.,buy,him,p,enough time for the ambulance to show up,n,buy,VB,2,it,PRP,PRON,3,NN,NOUN,4,,,13,dative,benefactive_alternating,It might buy enough time for the ambulance to show up for him.,-0.03468704224,0.0265879631,0.09664297104,-0.1587319374,-0.3810830116271972,1
16688,"The first week, I made you dinner, but you never showed up.",made,you,p,dinner,n,make,VBD,5,i,PRP,PRON,6,NN,NOUN,7,,,15,dative,do_only/benefactive_alternating,"The first week, I made dinner for you, but you never showed up.",-0.2324376106,-0.3089385033,-0.05634069443,-0.3325095177,-0.2012088298797607,1
13356,"With all respect, ma'am, you and I working together could never offer him that.",offer,him,p,that,n,offer,VB,13,you and i working together,PRP,PRON,14,DT,PRON,15,,,17,dative,alternating,"With all respect, ma'am, you and I working together could never offer that to him.",0.05928301811,-0.07784080505,-0.234159708,0.0498342514,-0.0926830768585205,1
17920,Don't give him ideas.,give,him,p,ideas,n,give,VB,2,,PRP,PRON,3,NNS,NOUN,4,,,6,dative,alternating,Don't give ideas to him.,-0.03365373611,-0.004276990891,-0.4145116806,-0.05668020248,0.5079755783081055,1
16393,Who told you that?,told,you,p,that,n,tell,VBD,1,who,PRP,PRON,2,DT,PRON,3,,,5,dative,alternating,Who told that to you?,0.3246281147,0.1641921997,-0.4124724865,0.5303347111,1.246671199798584,1
3228,"When the maiden saw him flying away she thought at first that he was still in play, and cried, ` Come back, friend, for now you see I have told you the truth. '",told,you,p,the truth,n,tell,VBN,33,i,PRP,PRON,34,NN,NOUN,35,,,39,dative,alternating,"When the maiden saw him flying away she thought at first that he was still in play, and cried, ` Come back, friend, for now you see I have told the truth to you. '",0.1020996571,-0.009194374084,-0.0262260437,0.07188248634,0.0698990821838378,1
15741,"Vikrant sir, our deal was I'll give you Seenu and you'll give me Sunaina, so...",give,me,p,sunaina,n,give,VB,14,you,PRP,PRON,15,NNP,PROPN,16,,,22,dative,alternating,"Vikrant sir, our deal was I'll give you Seenu and you'll give sunaina to me, so...",0.2044253349,-0.05689644814,-0.1021330357,0.208466053,0.2834634780883789,1
16204,Tells you a lot about a person.,Tells,you,p,a lot about a person,n,tell,VBZ,0,,PRP,PRON,1,NN,NOUN,2,,,8,dative,alternating,Tells a lot about a person to you.,0.8358259201,0.2297124863,0.4282748699,0.9019365311,0.3506674766540527,1
17558,I'm assigning you my top assassins:,assigning,you,p,my top assassins,n,assign,VBG,2,i,PRP,PRON,3,NNS,NOUN,4,,,8,dative,alternating,I'm assigning my top assassins to you :,-0.1939301491,0.04493093491,0.03590917587,0.004534244537,0.1581707000732422,1
1870,"Do you know a, a hairdresser years ago told me that.",told,me,p,that,n,tell,VBD,9,a hairdresser,PRP,PRON,10,DT,PRON,11,,,13,dative,alternating,"Do you know a, a hairdresser years ago told that to me.",0.1925473213,-0.1728878021,0.05634880066,0.2348527908,0.4749646186828613,1
12316,"Look, I just came by to ask you a few questions.",ask,you,p,a few questions,n,ask,VB,7,,PRP,PRON,8,NNS,NOUN,9,,,13,dative,alternating,"Look, I just came by to ask a few questions to you.",0.579313755,0.02006411552,0.08954691887,0.3152525425,0.3737719058990478,1
