global_idx,sentence,verb_lemma,verb,recipient,theme,recipient_length,theme_length,length_difference,recipient_pronoun,theme_pronoun,score,is_balanced,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,babylm-default_ratio,babylm-balanced_ratio,len_category,Construction,recipient_pos_spacy
5171,"Before leaving he gave her a flower, and said: ""Sister, as long as this flower keeps fresh, you will know that I am alive and well; but if it should close or fade, you may feel sure that I too am dead. """,give,gave,her,a flower,1,2,-0.6931471806,0.5,-0.5,-0.06566762924,-0.5,VBD,3,he,PRP,PRON,4,NN,NOUN,5,,,51,dative,alternating,"Before leaving he gave a flower to her, and said: ""Sister, as long as this flower keeps fresh, you will know that I am alive and well; but if it should close or fade, you may feel sure that I too am dead. """,-0.06566762924,-0.04029417038,1. Recipient Shorter,DO,
1553,I've gotta be catched I won't actually do it I'll just come in run a mo just give it complete customers and  and help,give,give,it,complete customers,1,2,-0.6931471806,0.5,-0.5,0.107421875,-0.5,VB,21,,PRP,PRON,22,NNS,NOUN,23,,,29,dative,alternating,I've gotta be catched I won't actually do it I'll just come in run a mo just give complete customers to it and  and help,0.107421875,0.02144384384,1. Recipient Shorter,DO,
20350,Can I offer you a drink?,offer,offer,you,a drink,1,2,-0.6931471806,0.5,-0.5,0.4352037907,-0.5,VB,2,i,PRP,PRON,3,NN,NOUN,4,,,7,dative,alternating,Can I offer a drink to you?,0.4352037907,-0.2446744442,1. Recipient Shorter,DO,
12549,"Ah, show 'em your stuff, girl.",show,show,em,your stuff,1,2,-0.6931471806,0.5,-0.5,0.3926253319,-0.5,VB,2,,PRP,PRON,3,NN,NOUN,4,,,9,dative,alternating,"Ah, show your stuff to 'em, girl.",0.3926253319,0.09662723541,1. Recipient Shorter,DO,
1874,You just leave me a note to remind me.,leave,leave,me,a note to remind me,1,5,-1.609437912,0.5,-0.5,0.3855907917,-0.5,VB,2,you,PRP,PRON,3,NN,NOUN,4,,,10,dative,alternating/benefactive_alternating,You just leave a note to remind me for me.,0.3855907917,0.4324793816,1. Recipient Shorter,DO,
5181,"""Make him a dish of kheer (rice cooked with milk and sugar); and besides this, to please him, another dish of pearls. """,make,Make,him,a dish of kheer ( rice cooked with milk and sugar ),1,10,-2.302585093,0.5,-0.5,-0.1019027233,-0.5,VB,1,,PRP,PRON,2,NN,NOUN,3,,,30,dative,do_only/benefactive_alternating,"""Make a dish of kheer ( rice cooked with milk and sugar ) for him; and besides this, to please him, another dish of pearls. """,-0.1019027233,-0.01547574997,1. Recipient Shorter,DO,
16971,"Fatima, give me a fudge sundae.",give,give,me,a fudge sundae,1,3,-1.098612289,0.5,-0.5,0.2088298798,-0.5,VB,2,,PRP,PRON,3,NN,NOUN,4,,,8,dative,alternating,"Fatima, give a fudge sundae to me.",0.2088298798,-0.2476129532,1. Recipient Shorter,DO,
640,you gave me the mixed up alien there.,give,gave,me,the mixed up alien,1,4,-1.386294361,0.5,-0.5,0.009603500366,-0.5,VBD,1,you,PRP,PRON,2,NN,NOUN,3,,,9,dative,alternating,you gave the mixed up alien to me there.,0.009603500366,-0.2048034668,1. Recipient Shorter,DO,
17795,"You gave yourself a great name such as Jiraiya, but you can't fool me!",give,gave,yourself,a great name such as jiraiya,1,6,-1.791759469,0.5,-0.5,0.3631515503,-0.5,VBD,1,you,PRP,PRON,2,NN,NOUN,3,,,17,dative,alternating,"You gave a great name such as jiraiya to yourself, but you can't fool me!",0.3631515503,-0.1063606739,1. Recipient Shorter,DO,
14466,Do me proud and show me your moves.,show,show,me,your moves,1,2,-0.6931471806,0.5,-0.5,0.4566628933,-0.5,VB,4,,PRP,PRON,5,NNS,NOUN,6,,,9,dative,alternating,Do me proud and show your moves to me.,0.4566628933,-0.0004630088806,1. Recipient Shorter,DO,
4510,I told you the truth when I said I did not know why I thought of you before all others.,tell,told,you,the truth,1,2,-0.6931471806,0.5,-0.5,0.09065055847,-0.5,VBD,1,i,PRP,PRON,2,NN,NOUN,3,,,21,dative,alternating,I told the truth to you when I said I did not know why I thought of you before all others.,0.09065055847,-0.2041299343,1. Recipient Shorter,DO,
24193,"As a sophomore, his tackle total declined to 56, but his 764 receiving yards earned him 27 major Division I scholarship offers.",earn,earned,him,27 major division i scholarship offers,1,6,-1.791759469,0.5,-0.5,-0.01297044754,-0.5,VBD,16,his 764 receiving yards,PRP,PRON,17,NNS,NOUN,18,,,25,dative,benefactive_alternating,"As a sophomore, his tackle total declined to 56, but his 764 receiving yards earned 27 major division i scholarship offers for him.",-0.01297044754,0.06606817245,1. Recipient Shorter,DO,
16352,I send him my de Hory book.,send,send,him,my de hory book,1,4,-1.386294361,0.5,-0.5,-0.6464958191,-0.5,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,8,dative,alternating,I send my de hory book to him.,-0.6464958191,-0.5416927338,1. Recipient Shorter,DO,
9621,"He showed me the sights, we popped into The Green Tree...",show,showed,me,the sights,1,2,-0.6931471806,0.5,-0.5,0.1566104889,-0.5,VBD,1,he,PRP,PRON,2,NNS,NOUN,3,,,15,dative,alternating,"He showed the sights to me, we popped into The Green Tree...",0.1566104889,-0.08299541473,1. Recipient Shorter,DO,
5007,This spicily-scented blossom told him an exciting story of intrigue and adventure in high places.,tell,told,him,an exciting story of intrigue and adventure in high places,1,10,-2.302585093,0.5,-0.5,0.05789899826,-0.5,VBD,3,this spicily-scented blossom,PRP,PRON,4,NN,NOUN,5,,,16,dative,alternating,This spicily-scented blossom told an exciting story of intrigue and adventure in high places to him.,0.05789899826,-0.1872282028,1. Recipient Shorter,DO,
23091,"However, the government did not give him any punishment as a criminal.",give,give,him,any punishment as a criminal,1,5,-1.609437912,0.5,-0.5,0.7363677025,-0.5,VB,6,the government,PRP,PRON,7,NN,NOUN,8,,,14,dative,alternating,"However, the government did not give any punishment as a criminal to him.",0.7363677025,0.1721684933,1. Recipient Shorter,DO,
18107,"Miss Clements, I'm sorry to have to tell you this... but to be perfectly blunt... your father's name will never go up on that wall.",tell,tell,you,this,1,1,0,0.5,0.5,0.0657145977,-0.5,VB,9,,PRP,PRON,10,DT,PRON,11,,,35,dative,alternating,"Miss Clements, I'm sorry to have to tell this to you... but to be perfectly blunt... your father's name will never go up on that wall.",0.0657145977,-0.06531453133,2. Equal Length,DO,
11109,"¤ If I was a bright star, I'd tell them to bring us luck, both of them altogether.",bring,bring,us,luck,1,1,0,0.5,-0.5,0.05711603165,-0.5,VB,13,,PRP,PRON,14,NN,NOUN,15,,,22,dative,alternating,"¤ If I was a bright star, I'd tell them to bring luck to us, both of them altogether.",0.05711603165,-0.08691167831,2. Equal Length,DO,
995,i give you a bite of this one.,give,give,you,a bite of this one,1,5,-1.609437912,0.5,-0.5,0.4870343208,-0.5,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,9,dative,alternating,i give a bite of this one to you.,0.4870343208,0.1695542336,1. Recipient Shorter,DO,
7447,"If you can tell me anything which does away with the difficulty, this is the time to tell it.",tell,tell,me,anything which does away with the difficulty,1,7,-1.945910149,0.5,0.5,0.374448061,-0.5,VB,3,you,PRP,PRON,4,NN,PRON,5,,,21,dative,alternating,"If you can tell anything which does away with the difficulty to me, this is the time to tell it.",0.374448061,0.2058663368,1. Recipient Shorter,DO,
15760,Gave me a medal.,give,Gave,me,a medal,1,2,-0.6931471806,0.5,-0.5,0.4215331078,-0.5,VBD,0,,PRP,PRON,1,NN,NOUN,2,,,5,dative,alternating,Gave a medal to me.,0.4215331078,-0.6482725143,1. Recipient Shorter,DO,
18515,"""When I pine, she gives me succour... """,give,gives,me,succour,1,1,0,0.5,-0.5,-0.07819461823,-0.5,VBZ,6,she,PRP,PRON,7,NN,NOUN,8,,,13,dative,alternating,"""When I pine, she gives succour to me... """,-0.07819461823,-0.3105669022,2. Equal Length,DO,
10305,"To ignore the facts, give you the benefit of the doubt.",give,give,you,the benefit of the doubt,1,5,-1.609437912,0.5,-0.5,0.2559378147,-0.5,VB,5,,PRP,PRON,6,NN,NOUN,7,,,13,dative,alternating,"To ignore the facts, give the benefit of the doubt to you.",0.2559378147,-0.2854437828,1. Recipient Shorter,DO,
3925,He used to hear our lessons and tell us splendid stories and saw that we always said our prayers.,tell,tell,us,splendid stories,1,2,-0.6931471806,0.5,-0.5,0.07370710373,-0.5,VB,7,,PRP,PRON,8,NNS,NOUN,9,,,20,dative,alternating,He used to hear our lessons and tell splendid stories to us and saw that we always said our prayers.,0.07370710373,-0.08105897903,1. Recipient Shorter,DO,
10127,Give us one more bottle here please.,give,Give,us,one more bottle,1,3,-1.098612289,0.5,-0.5,0.8136630058,-0.5,VB,0,,PRP,PRON,1,NN,NOUN,2,,,8,dative,alternating,Give one more bottle to us here please.,0.8136630058,-0.2898907661,1. Recipient Shorter,DO,
1583,"Because if we actually can address th those real concerns, you know, you know  the point that brother  just made about why should he leave you to join unison  try and crystallize that out in a Northumberland way, if that's possible, it may not be, it may be difficult on, on a short punchy A five leaflet  it will probably service because I mean it c it can be photocopied, there's nothing wonderful, I mean it doesn't have to be sort of the most wonderful printing techniques and giving them desktop publishing.",give,giving,them,desktop publishing,1,2,-0.6931471806,0.5,-0.5,0.007590293884,-0.5,VBG,103,,PRP,PRON,104,NN,NOUN,105,,,108,dative,alternating,"Because if we actually can address th those real concerns, you know, you know  the point that brother  just made about why should he leave you to join unison  try and crystallize that out in a Northumberland way, if that's possible, it may not be, it may be difficult on, on a short punchy A five leaflet  it will probably service because I mean it c it can be photocopied, there's nothing wonderful, I mean it doesn't have to be sort of the most wonderful printing techniques and giving desktop publishing to them.",0.007590293884,-0.006460189819,1. Recipient Shorter,DO,
17906,-You were about to tell me your theory.,tell,tell,me,your theory,1,2,-0.6931471806,0.5,-0.5,0.1945240498,-0.5,VB,4,,PRP,PRON,5,NN,NOUN,6,,,9,dative,alternating,-You were about to tell your theory to me.,0.1945240498,0.132843256,1. Recipient Shorter,DO,
824,do you wanna read me another book?,read,read,me,another book,1,2,-0.6931471806,0.5,-0.5,-0.283614397,-0.5,VB,3,you,PRP,PRON,4,NN,NOUN,5,,,8,dative,alternating,do you wanna read another book to me?,-0.283614397,-0.3121244907,1. Recipient Shorter,DO,
4271,"But you counted on the prince’s, gratitude towards Pavlicheff; you never lent him any money; he owes you nothing; then what were you counting upon if not on his gratitude?",lend,lent,him,any money,1,2,-0.6931471806,0.5,-0.5,-0.1254076958,-0.5,VBD,14,you,PRP,PRON,15,NN,NOUN,16,,,36,dative,alternating,"But you counted on the prince’s, gratitude towards Pavlicheff; you never lent any money to him; he owes you nothing; then what were you counting upon if not on his gratitude?",-0.1254076958,-0.144753933,1. Recipient Shorter,DO,
4050,"`` I do n't know much about sickness, '' spoke up Frances firmly, `` but if to sit by the child and give him his medicine regularly is all that is necessary, I am sure I can do that.",give,give,him,his medicine,1,2,-0.6931471806,0.5,-0.5,0.09619283676,-0.5,VB,26,,PRP,PRON,27,NN,NOUN,28,,,45,dative,alternating,"`` I do n't know much about sickness, '' spoke up Frances firmly, `` but if to sit by the child and give his medicine to him regularly is all that is necessary, I am sure I can do that.",0.09619283676,0.005130767822,1. Recipient Shorter,DO,
15409,I gave you something and you threw it away.,give,gave,you,something,1,1,0,0.5,0.5,0.1781122684,-0.5,VBD,1,i,PRP,PRON,2,NN,PRON,3,,,10,dative,alternating,I gave something to you and you threw it away.,0.1781122684,-0.2839536667,2. Equal Length,DO,
11550,You taught me that.,teach,taught,me,that,1,1,0,0.5,0.5,0.160479784,-0.5,VBD,1,you,PRP,PRON,2,DT,PRON,3,,,5,dative,alternating,You taught that to me.,0.160479784,-0.1412932873,2. Equal Length,DO,
16441,Let me tell you something.,tell,tell,you,something,1,1,0,0.5,0.5,1.028131962,-0.5,VB,2,me,PRP,PRON,3,NN,PRON,4,,,6,dative,alternating,Let me tell something to you.,1.028131962,0.1556568146,2. Equal Length,DO,
10738,I've just sent you everything I found on Strucker's location.,send,sent,you,everything i found on strucker's location,1,6,-1.791759469,0.5,0.5,-0.01359510422,-0.5,VBN,3,i,PRP,PRON,4,NN,PRON,5,,,13,dative,alternating,I've just sent everything i found on strucker's location to you.,-0.01359510422,-0.2046325207,1. Recipient Shorter,DO,
15199,ONCE BODEY GIVES YOU A LITTLE,give,GIVES,you,a little,1,2,-0.6931471806,0.5,-0.5,0.3610153198,-0.5,VBZ,2,bodey,PRP,PRON,3,NN,NOUN,4,,,6,dative,alternating,ONCE BODEY GIVES a little to YOU,0.3610153198,-0.3755674362,1. Recipient Shorter,DO,
1962,I'll tell you one that isn't too rude.,tell,tell,you,one that is n't too rude,1,6,-1.791759469,0.5,-0.5,0.5030038357,-0.5,VB,2,i,PRP,PRON,3,NN,NOUN,4,,,11,dative,alternating,I'll tell one that isn't too rude to you.,0.5030038357,0.1379275322,1. Recipient Shorter,DO,
1311,Shows you that.,show,Shows,you,that,1,1,0,0.5,0.5,0.2100939751,-0.5,VBZ,0,,PRP,PRON,1,DT,PRON,2,,,5,dative,alternating,Shows that to you.,0.2100939751,-0.3272624016,2. Equal Length,DO,
13798,Why don't you ask him that yourself?,ask,ask,him,that,1,1,0,0.5,0.5,0.3744790554,-0.5,VB,4,you,PRP,PRON,5,DT,PRON,6,,,9,dative,alternating,Why don't you ask that to him yourself?,0.3744790554,0.05185890198,2. Equal Length,DO,
17758,"Just give me a minute, will you?",give,give,me,a minute,1,2,-0.6931471806,0.5,-0.5,0.6195423603,-0.5,VB,1,,PRP,PRON,2,NN,NOUN,3,,,9,dative,alternating,"Just give a minute to me, will you?",0.6195423603,0.01846170425,1. Recipient Shorter,DO,
5128,"On this Abul discovered that the King had been playing a practical joke on him, and he said: ""O King, you have given me much misery. """,give,given,me,much misery,1,2,-0.6931471806,0.5,-0.5,0.02487707138,-0.5,VBN,26,you,PRP,PRON,27,NN,NOUN,28,,,32,dative,alternating,"On this Abul discovered that the King had been playing a practical joke on him, and he said: ""O King, you have given much misery to me. """,0.02487707138,-0.1189370155,1. Recipient Shorter,DO,
18754,tell me the truth,tell,tell,me,the truth,1,2,-0.6931471806,0.5,-0.5,0.7477083206,-0.5,VB,0,,PRP,PRON,1,NN,NOUN,2,,,4,dative,alternating,tell the truth to me,0.7477083206,-0.5294539928,1. Recipient Shorter,DO,
762,who gave you that?,give,gave,you,that,1,1,0,0.5,0.5,-0.3324506283,-0.5,VBD,1,who,PRP,PRON,2,DT,PRON,3,,,5,dative,alternating,who gave that to you?,-0.3324506283,-0.3834486008,2. Equal Length,DO,
19635,"Come on, sir, give us a penny!",give,give,us,a penny,1,2,-0.6931471806,0.5,-0.5,0.274545908,-0.5,VB,5,,PRP,PRON,6,NN,NOUN,7,,,10,dative,alternating,"Come on, sir, give a penny to us!",0.274545908,-0.1085150242,1. Recipient Shorter,DO,
16483,"No, you gave me a photo.",give,gave,me,a photo,1,2,-0.6931471806,0.5,-0.5,0.3336439133,-0.5,VBD,3,you,PRP,PRON,4,NN,NOUN,5,,,8,dative,alternating,"No, you gave a photo to me.",0.3336439133,-0.4758346081,1. Recipient Shorter,DO,
3264,"Her parents were very much vexed when the old man came back and told them this, but as soon as the three months of the Prince 's enchantment were over, he ceased to be an eagle and became once more a man, and they returned home together.",tell,told,them,this,1,1,0,0.5,0.5,0.03319764137,-0.5,VBD,13,,PRP,PRON,14,DT,PRON,15,,,51,dative,alternating,"Her parents were very much vexed when the old man came back and told this to them, but as soon as the three months of the Prince 's enchantment were over, he ceased to be an eagle and became once more a man, and they returned home together.",0.03319764137,-0.003573417664,2. Equal Length,DO,
25638,"Singing cowboy Gene Autry (Gene Autry) and his fellow ranchers in Whippasaw are outraged to learn that the purchasing agent for the Grantley B. Johnson Packing Co., Thomas McCoy (Edmund MacDonald), is only offering them $65 per head of cattle.",offer,offering,them,$ 65 per head of cattle,1,5,-1.609437912,0.5,-0.5,-0.09703683853,-0.5,VBG,39,"the purchasing agent for the grantley b. johnson packing co. , thomas mccoy ( edmund macdonald )",PRP,PRON,40,CD,NUM,41,,,48,dative,alternating,"Singing cowboy Gene Autry (Gene Autry) and his fellow ranchers in Whippasaw are outraged to learn that the purchasing agent for the Grantley B. Johnson Packing Co., Thomas McCoy (Edmund MacDonald), is only offering $65 per head of cattle to them.",-0.09703683853,-0.07739639282,1. Recipient Shorter,DO,
14503,It might buy him enough time for the ambulance to show up.,buy,buy,him,enough time for the ambulance to show up,1,8,-2.079441542,0.5,-0.5,0.1146245003,-0.5,VB,2,it,PRP,PRON,3,NN,NOUN,4,,,13,dative,benefactive_alternating,It might buy enough time for the ambulance to show up for him.,0.1146245003,-0.1884012222,1. Recipient Shorter,DO,
16688,"The first week, I made you dinner, but you never showed up.",make,made,you,dinner,1,1,0,0.5,-0.5,-0.1848731041,-0.5,VBD,5,i,PRP,PRON,6,NN,NOUN,7,,,15,dative,do_only/benefactive_alternating,"The first week, I made dinner for you, but you never showed up.",-0.1848731041,-0.317327261,2. Equal Length,DO,
13356,"With all respect, ma'am, you and I working together could never offer him that.",offer,offer,him,that,1,1,0,0.5,0.5,-0.1146943569,-0.5,VB,13,you and i working together,PRP,PRON,14,DT,PRON,15,,,17,dative,alternating,"With all respect, ma'am, you and I working together could never offer that to him.",-0.1146943569,-0.1147868633,2. Equal Length,DO,
17920,Don't give him ideas.,give,give,him,ideas,1,1,0,0.5,-0.5,-0.3176672459,-0.5,VB,2,,PRP,PRON,3,NNS,NOUN,4,,,6,dative,alternating,Don't give ideas to him.,-0.3176672459,-0.1834368706,2. Equal Length,DO,
16393,Who told you that?,tell,told,you,that,1,1,0,0.5,0.5,0.5493724346,-0.5,VBD,1,who,PRP,PRON,2,DT,PRON,3,,,5,dative,alternating,Who told that to you?,0.5493724346,-0.00154876709,2. Equal Length,DO,
3228,"When the maiden saw him flying away she thought at first that he was still in play, and cried, ` Come back, friend, for now you see I have told you the truth. '",tell,told,you,the truth,1,2,-0.6931471806,0.5,-0.5,0.08756065369,-0.5,VBN,33,i,PRP,PRON,34,NN,NOUN,35,,,39,dative,alternating,"When the maiden saw him flying away she thought at first that he was still in play, and cried, ` Come back, friend, for now you see I have told the truth to you. '",0.08756065369,-0.03840112686,1. Recipient Shorter,DO,
15741,"Vikrant sir, our deal was I'll give you Seenu and you'll give me Sunaina, so...",give,give,me,sunaina,1,1,0,0.5,-0.5,0.1013047695,-0.5,VB,14,you,PRP,PRON,15,NNP,PROPN,16,,,22,dative,alternating,"Vikrant sir, our deal was I'll give you Seenu and you'll give sunaina to me, so...",0.1013047695,-0.08477497101,2. Equal Length,DO,
16204,Tells you a lot about a person.,tell,Tells,you,a lot about a person,1,5,-1.609437912,0.5,-0.5,0.8185708523,-0.5,VBZ,0,,PRP,PRON,1,NN,NOUN,2,,,8,dative,alternating,Tells a lot about a person to you.,0.8185708523,-0.09122776985,1. Recipient Shorter,DO,
17558,I'm assigning you my top assassins:,assign,assigning,you,my top assassins,1,3,-1.098612289,0.5,-0.5,-0.3684959412,-0.5,VBG,2,i,PRP,PRON,3,NNS,NOUN,4,,,8,dative,alternating,I'm assigning my top assassins to you :,-0.3684959412,-0.04762172699,1. Recipient Shorter,DO,
1870,"Do you know a, a hairdresser years ago told me that.",tell,told,me,that,1,1,0,0.5,0.5,0.3675885201,-0.5,VBD,9,a hairdresser,PRP,PRON,10,DT,PRON,11,,,13,dative,alternating,"Do you know a, a hairdresser years ago told that to me.",0.3675885201,0.08486843109,2. Equal Length,DO,
12316,"Look, I just came by to ask you a few questions.",ask,ask,you,a few questions,1,3,-1.098612289,0.5,-0.5,0.4651236534,-0.5,VB,7,,PRP,PRON,8,NNS,NOUN,9,,,13,dative,alternating,"Look, I just came by to ask a few questions to you.",0.4651236534,0.1672949791,1. Recipient Shorter,DO,
16519,His rank earns him the loyalty of a harem of females and they follow him closely as he travels across this desert searching for foof and water.,earn,earns,him,the loyalty of a harem of females,1,7,-1.945910149,0.5,-0.5,-0.1172227859,-0.5,VBZ,2,his rank,PRP,PRON,3,NN,NOUN,4,,,28,dative,benefactive_alternating,His rank earns the loyalty of a harem of females for him and they follow him closely as he travels across this desert searching for foof and water.,-0.1172227859,-0.1437692642,1. Recipient Shorter,DO,
20282,Will you give me that tape?,give,give,me,that tape,1,2,-0.6931471806,0.5,-0.5,-0.2823412418,-0.5,VB,2,you,PRP,PRON,3,NN,NOUN,4,,,7,dative,alternating,Will you give that tape to me?,-0.2823412418,-0.3487079144,1. Recipient Shorter,DO,
9582,I could tell you some stories.,tell,tell,you,some stories,1,2,-0.6931471806,0.5,-0.5,0.006012201309,-0.5,VB,2,i,PRP,PRON,3,NNS,NOUN,4,,,7,dative,alternating,I could tell some stories to you.,0.006012201309,-0.6935534477,1. Recipient Shorter,DO,
20717,"Her best known roles include Gloria Upson in the movie ""Auntie Mame"" (1958), which earned her a Golden Globe Award nomination for New Star of the Year and as Jane in ""Tarzan, the Ape Man"" (1959).",earn,earned,her,a golden globe award nomination for new star of the year,1,11,-2.397895273,0.5,-0.5,-0.00545167923,-0.5,VBD,19,which,PRP,PRON,20,NN,NOUN,21,,,47,dative,benefactive_alternating,"Her best known roles include Gloria Upson in the movie ""Auntie Mame"" (1958), which earned a golden globe award nomination for new star of the year for her and as Jane in ""Tarzan, the Ape Man"" (1959).",-0.00545167923,0.00849199295,1. Recipient Shorter,DO,
10499,"Until then, I will order you a double.",order,order,you,a double,1,2,-0.6931471806,0.5,-0.5,-0.204054594,-0.5,VB,5,i,PRP,PRON,6,NN,NOUN,7,,,10,dative,benefactive_alternating,"Until then, I will order a double for you.",-0.204054594,-0.2426929474,1. Recipient Shorter,DO,
840,we'll give you that one?,give,give,you,that one,1,2,-0.6931471806,0.5,-0.5,0.03334641457,-0.5,VB,2,we,PRP,PRON,3,NN,NOUN,4,,,7,dative,alternating,we'll give that one to you?,0.03334641457,-0.1315383911,1. Recipient Shorter,DO,
9974,Please give me one last hug',give,give,me,one last hug,1,3,-1.098612289,0.5,-0.5,0.1131734848,-0.5,VB,2,,PRP,PRON,3,NN,NOUN,4,,,8,dative,alternating,Please give one last hug to me ',0.1131734848,-1.244372845,1. Recipient Shorter,DO,
22100,The old lady gives him the answer but in return wants to marry him.,give,gives,him,the answer,1,2,-0.6931471806,0.5,-0.5,0.07512664795,-0.5,VBZ,3,the old lady,PRP,PRON,4,NN,NOUN,5,,,15,dative,alternating,The old lady gives the answer to him but in return wants to marry him.,0.07512664795,-0.2716627121,1. Recipient Shorter,DO,
2727,I'll give you two hundred fifty.,give,give,you,two hundred fifty,1,3,-1.098612289,0.5,-0.5,0.5773396492,-0.5,VB,2,i,PRP,PRON,3,CD,NUM,4,,,8,dative,alternating,I'll give two hundred fifty to you.,0.5773396492,-0.1573219299,1. Recipient Shorter,DO,
9575,Give me a green light to take out the assholes who did Washington.,give,Give,me,a green light to take out the assholes who did washington,1,11,-2.397895273,0.5,-0.5,0.4223313332,-0.5,VB,0,,PRP,PRON,1,NN,NOUN,2,,,14,dative,alternating,Give a green light to take out the assholes who did washington to me.,0.4223313332,-0.31291008,1. Recipient Shorter,DO,
15609,I'll pay you a salary,pay,pay,you,a salary,1,2,-0.6931471806,0.5,-0.5,0.3650977612,-0.5,VB,2,i,PRP,PRON,3,NN,NOUN,4,,,6,dative,alternating,I'll pay a salary to you,0.3650977612,-0.1347570419,1. Recipient Shorter,DO,
16171,We will send you a message through the Stargate soon.,send,send,you,a message,1,2,-0.6931471806,0.5,-0.5,-0.1661908627,-0.5,VB,2,we,PRP,PRON,3,NN,NOUN,4,,,11,dative,alternating,We will send a message to you through the Stargate soon.,-0.1661908627,-0.3930888176,1. Recipient Shorter,DO,
22932,"Paddy Ashdown was born in New Delhi, British India, but was brought up in Northern Ireland and his Irish accent brought him the nickname ""Paddy"".",bring,brought,him,"the nickname "" paddy """,1,3,-1.098612289,0.5,-0.5,0.043186903,-0.5,VBD,22,his irish accent,PRP,PRON,23,NN,NOUN,24,,,30,dative,alternating,"Paddy Ashdown was born in New Delhi, British India, but was brought up in Northern Ireland and his Irish accent brought the nickname "" paddy "" to him.",0.043186903,-0.1190969944,1. Recipient Shorter,DO,
16140,Give me that fish.,give,Give,me,that fish,1,2,-0.6931471806,0.5,-0.5,0.06664466858,-0.5,VB,0,,PRP,PRON,1,NN,NOUN,2,,,5,dative,alternating,Give that fish to me.,0.06664466858,-0.3045613766,1. Recipient Shorter,DO,
