global_idx,sentence,verb_lemma,verb,recipient,recipient_anim,theme,theme_anim,construction,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,recipient_pos_spacy,recipient_length,theme_length,length_difference
301,would you save that for me?,save,save,me,a,that,i,,VB,2,you,IN,PRON,5,DT,PRON,3,for,4,7,dative,benefactive_alternating,would you save me that?,ADP,1,1,0
307,want me to give it to you?,give,give,you,a,it,i,,VB,3,me,IN,PRON,6,PRP,PRON,4,to,5,8,prep,alternating,want me to give you it?,ADP,1,1,0
339,france gave the statue of liberty to new york?,give,gave,new york,i,the statue of liberty,i,,VBD,1,france,IN,,7,NN,NOUN,2,to,6,10,prep,alternating,france gave new york the statue of liberty?,ADP,2,4,-0.6931471806
366,well yeah okay you can give that to gigi go ahead.,give,give,gigi,a,that,i,,VB,5,you,IN,,8,DT,PRON,6,to,7,12,dative,alternating,well yeah okay you can give gigi that go ahead.,ADP,1,1,0
367,go ahead bring it to her.,bring,bring,her,a,it,i,,VB,2,,IN,PRON,5,PRP,PRON,3,to,4,7,dative,alternating,go ahead bring her it.,ADP,1,1,0
392,did maggie give this to you as a present.,give,give,you,a,this,i,,VB,2,maggie,IN,PRON,5,DT,PRON,3,to,4,10,dative,alternating,did maggie give you this as a present.,ADP,1,1,0
402,ellie gave it to you.,give,gave,you,a,it,i,,VBD,1,ellie,IN,PRON,4,PRP,PRON,2,to,3,6,dative,alternating,ellie gave you it.,ADP,1,1,0
416,if i give it to you will you go to bed.,give,give,you,a,it,i,,VBP,2,i,IN,PRON,5,PRP,PRON,3,to,4,12,dative,alternating,if i give you it will you go to bed.,ADP,1,1,0
419,i know you'll tell a story to big bird won't you.,tell,tell,big bird,b,a story,i,,VB,4,you,IN,,8,NN,NOUN,5,to,7,14,prep,alternating,i know you'll tell big bird a story won't you.,ADP,2,2,0
440,didn't you get some for yourself?,get,get,yourself,a,some,i,,VB,3,you,IN,PRON,6,DT,PRON,4,for,5,8,dative,benefactive_alternating,didn't you get yourself some?,ADP,1,1,0
441,get some for jenny too.,get,get,jenny,a,some,i,,VB,0,,IN,,3,DT,PRON,1,for,2,6,dative,benefactive_alternating,get jenny some too.,ADP,1,1,0
443,so we can make scrambled eggs for the cowboys?,make,make,the cowboys,a,scrambled eggs,i,,VB,3,we,IN,,7,NNS,NOUN,4,for,6,10,dative,benefactive_alternating,so we can make the cowboys scrambled eggs?,ADP,2,2,0
485,you're giving it to me?,give,giving,me,a,it,i,,VBG,2,you,IN,PRON,5,PRP,PRON,3,to,4,7,dative,alternating,you're giving me it?,ADP,1,1,0
500,should we make a den for the fox?,make,make,the fox,b,a den,i,,VB,2,we,IN,,6,NN,NOUN,3,for,5,9,dative,benefactive_alternating,should we make the fox a den?,ADP,2,2,0
516,you gave it to her to eat?,give,gave,her,a,it,i,,VBD,1,you,IN,PRON,4,PRP,PRON,2,to,3,8,dative,alternating,you gave her it to eat?,ADP,1,1,0
550,pierre and maryse gave this to you.,give,gave,you,a,this,i,,VBD,3,pierre and maryse,IN,PRON,6,DT,PRON,4,to,5,8,prep,alternating,pierre and maryse gave you this.,ADP,1,1,0
552,maybe your dump truck can come and visit the village and bring things to the village.,bring,bring,the village,i,things,i,,VB,11,,IN,,14,NNS,NOUN,12,to,13,17,dative,alternating,maybe your dump truck can come and visit the village and bring the village things.,ADP,2,1,0.6931471806
564,you're going to have to buy another one and give it to ursula because you're breaking that one.,give,give,ursula,a,it,i,,VB,10,,IN,,13,PRP,PRON,11,to,12,21,dative,alternating,you're going to have to buy another one and give ursula it because you're breaking that one.,ADP,1,1,0
569,you sing it for her.,sing,sing,her,a,it,i,,VBP,1,you,IN,PRON,4,PRP,PRON,2,for,3,6,dative,benefactive_alternating,you sing her it.,ADP,1,1,0
580,you have to read it to me okay?,read,read,me,a,it,i,,VB,3,,IN,PRON,6,PRP,PRON,4,to,5,9,prep,alternating,you have to read me it okay?,ADP,1,1,0
611,who gave it to you?,give,gave,you,a,it,i,,VBD,1,who,IN,PRON,4,PRP,PRON,2,to,3,6,dative,alternating,who gave you it?,ADP,1,1,0
616,no grandpa gave it to you?,give,gave,you,a,it,i,,VBD,2,no grandpa,IN,PRON,5,PRP,PRON,3,to,4,7,dative,alternating,no grandpa gave you it?,ADP,1,1,0
626,okay do you want to sell it to me?,sell,sell,me,a,it,i,,VB,5,,IN,PRON,8,PRP,PRON,6,to,7,10,dative,alternating,okay do you want to sell me it?,ADP,1,1,0
628,now you sold it to me.,sell,sold,me,a,it,i,,VBD,2,you,IN,PRON,5,PRP,PRON,3,to,4,7,dative,alternating,now you sold me it.,ADP,1,1,0
661,give one to edna and one to daddy?,give,give,edna,a,one,i,,VB,0,,IN,,3,CD,NUM,1,to,2,9,dative,alternating,give edna one and one to daddy?,ADP,1,1,0
670,maybe he does we'll have to give it to him when he gets home hah.,give,give,him,a,it,i,,VB,7,,IN,PRON,10,PRP,PRON,8,to,9,17,dative,alternating,maybe he does we'll have to give him it when he gets home hah.,ADP,1,1,0
685,well this is he's feeding cake to his little animals.,feed,feeding,his little animals,b,cake,i,,VBG,5,he,IN,,8,NN,NOUN,6,to,7,12,dative,alternating,well this is he's feeding his little animals cake.,ADP,3,1,1.098612289
701,maybe i can find them for you?,find,find,you,a,them,i,,VB,3,i,IN,PRON,6,PRP,PRON,4,for,5,8,dative,benefactive_alternating,maybe i can find you them?,ADP,1,1,0
718,daddy is going to get a band aid for you.,get,get,you,a,a band aid,i,,VB,4,,IN,PRON,9,NN,NOUN,5,for,8,11,dative,benefactive_alternating,daddy is going to get you a band aid.,ADP,1,3,-1.098612289
731,aw i was gonna mail something to auntie lizzie too.,mail,mail,auntie lizzie,a,something,i,,VB,5,,IN,,8,NN,PRON,6,to,7,12,dative,alternating,aw i was gonna mail auntie lizzie something too.,ADP,2,1,0.6931471806
733,alright i gotta go write this out to katie and mail it to her today.,mail,mail,her,a,it,i,,VB,11,,IN,PRON,14,PRP,PRON,12,to,13,17,dative,alternating,alright i gotta go write this out to katie and mail her it today.,ADP,1,1,0
734,we gotta buy a present for caroline today.,buy,buy,caroline,a,a present,i,,VB,3,,IN,,7,NN,NOUN,4,for,6,10,dative,benefactive_alternating,we gotta buy caroline a present today.,ADP,1,2,-0.6931471806
756,no after you bring him to the bank what are you gonna do with him.,bring,bring,the bank,i,him,a,,VBP,3,you,IN,,6,PRP,PRON,4,to,5,17,prep,alternating,no after you bring the bank him what are you gonna do with him.,ADP,2,1,0.6931471806
768,shall we give some of your toys to another little girl?,give,give,another little girl,a,some of your toys,i,,VB,2,we,IN,,8,DT,PRON,3,to,7,12,prep,alternating,shall we give another little girl some of your toys?,ADP,3,4,-0.2876820725
781,you want me to read that to you?,read,read,you,a,that,i,,VB,4,me,IN,PRON,7,DT,PRON,5,to,6,9,prep,alternating,you want me to read you that?,ADP,1,1,0
816,you wanna pass it to me?,pass,pass,me,a,it,i,,VB,2,you,IN,PRON,5,PRP,PRON,3,to,4,7,dative,alternating,you wanna pass me it?,ADP,1,1,0
823,do you wanna read the book to me?,read,read,me,a,the book,i,,VB,3,you,IN,PRON,7,NN,NOUN,4,to,6,9,prep,alternating,do you wanna read me the book?,ADP,1,2,-0.6931471806
833,do you want to show that to me?,show,show,me,a,that,i,,VB,4,,IN,PRON,7,DT,PRON,5,to,6,9,dative,alternating,do you want to show me that?,ADP,1,1,0
858,susie gave it to you?,give,gave,you,a,it,i,,VBD,1,susie,IN,PRON,4,PRP,PRON,2,to,3,6,prep,alternating,susie gave you it?,ADP,1,1,0
866,so i can make a hat for monkey.,make,make,monkey,b,a hat,i,,VB,3,i,IN,,7,NN,NOUN,4,for,6,9,dative,benefactive_alternating,so i can make monkey a hat.,ADP,1,2,-0.6931471806
876,read the book to jim.,read,read,jim,a,the book,i,,VB,0,,IN,,4,NN,NOUN,1,to,3,6,dative,alternating,read jim the book.,ADP,1,2,-0.6931471806
894,you wanna read this book to me?,read,read,me,a,this book,i,,VB,2,you,IN,PRON,6,NN,NOUN,3,to,5,8,prep,alternating,you wanna read me this book?,ADP,1,2,-0.6931471806
913,can you make can you cook it for me?,cook,cook,me,a,it,i,,VB,5,you,IN,PRON,8,PRP,PRON,6,for,7,10,dative,benefactive_alternating,can you make can you cook me it?,ADP,1,1,0
966,well you know i bought both toys for both boys but the way i gave the toys to them i gave the wompa to ross and the tauntaun to mark.,buy,bought,both boys,a,both toys,i,,VBD,4,i,IN,,8,NNS,NOUN,5,for,7,31,dative,benefactive_alternating,well you know i bought both boys both toys but the way i gave the toys to them i gave the wompa to ross and the tauntaun to mark.,ADP,2,2,0
975,yeah you must have taught it to him.,teach,taught,him,a,it,i,,VBN,4,you,IN,PRON,7,PRP,PRON,5,to,6,9,dative,alternating,yeah you must have taught him it.,ADP,1,1,0
985,now give it to me now and i'll put it away for tomorrow.,give,give,me,a,it,i,,VB,1,,IN,PRON,4,PRP,PRON,2,to,3,15,dative,alternating,now give me it now and i'll put it away for tomorrow.,ADP,1,1,0
1008,adam smith now it's your turn to read a story to the class.,read,read,the class,b,a story,i,,VB,8,,IN,,12,NN,NOUN,9,to,11,15,prep,alternating,adam smith now it's your turn to read the class a story.,ADP,2,2,0
1013,want me to cut this for you.,cut,cut,you,a,this,i,,VB,3,me,IN,PRON,6,DT,PRON,4,for,5,8,dative,benefactive_alternating,want me to cut you this.,ADP,1,1,0
1015,or just pass it to me?,pass,pass,me,a,it,i,,VB,2,,IN,PRON,5,PRP,PRON,3,to,4,7,dative,alternating,or just pass me it?,ADP,1,1,0
1052,my mother's girl friend gave it to her.,give,gave,her,a,it,i,,VBD,5,my mother's girl friend,IN,PRON,8,PRP,PRON,6,to,7,10,dative,alternating,my mother's girl friend gave her it.,ADP,1,1,0
1056,that's how you sold him you sold him to me and he had blood all over him?,sell,sold,me,a,him,a,,VBD,7,you,IN,PRON,10,PRP,PRON,8,to,9,19,dative,alternating,that's how you sold him you sold me him and he had blood all over him?,ADP,1,1,0
1063,marky you give some to ross.,give,give,ross,a,some,i,,VBP,2,you,IN,,5,DT,PRON,3,to,4,7,prep,alternating,marky you give ross some.,ADP,1,1,0
1065,no ross i'm not going to give them to you.,give,give,you,a,them,i,,VB,7,,IN,PRON,10,PRP,PRON,8,to,9,12,prep,alternating,no ross i'm not going to give you them.,ADP,1,1,0
1067,could you you give that to daddy?,give,give,daddy,a,that,i,,VB,3,you,IN,,6,DT,PRON,4,to,5,8,prep,alternating,could you you give daddy that?,ADP,1,1,0
1091,are you going to set the table for me?,set,set,me,a,the table,i,,VB,4,,IN,PRON,8,NN,NOUN,5,for,7,10,dative,benefactive_alternating,are you going to set me the table?,ADP,1,2,-0.6931471806
1110,"I mean I'll give one of these to each of my form teachers so they know, they're gonna write in bits and pieces whatever they want to know.",give,give,each of my form teachers,a,one of these,i,,VB,4,i,IN,,9,CD,NUM,5,to,8,33,dative,alternating,"I mean I'll give each of my form teachers one of these so they know, they're gonna write in bits and pieces whatever they want to know.",ADP,5,3,0.5108256238
1175,I might give one of them to her.,give,give,her,a,one of them,i,,VB,2,i,IN,PRON,7,CD,NUM,3,to,6,9,prep,alternating,I might give her one of them.,ADP,1,3,-1.098612289
1233,"Yes  shall  pay another call to our benefit office and say, I want some of those  nice mauve coloured",pay,pay,our benefit office,i,another call,i,,VB,4,,IN,,8,NN,NOUN,5,to,7,23,dative,alternating,"Yes  shall  pay our benefit office another call and say, I want some of those  nice mauve coloured",ADP,3,2,0.4054651081
1325,Sent  they  send it to Elizabeth.,send,send,elizabeth,a,it,i,,VBP,4,,IN,,7,PRP,PRON,5,to,6,9,dative,alternating,Sent  they  send elizabeth it.,ADP,1,1,0
1365,A leading brewery in the Fox F M area has confirmed it's to offer financial help to pub managers faced with high Poll Tax bills.,offer,offer,pub managers faced with high poll tax bills,a,financial help,i,,VB,14,,IN,,18,NN,NOUN,15,to,17,27,dative,alternating,A leading brewery in the Fox F M area has confirmed it's to offer pub managers faced with high poll tax bills financial help.,ADP,8,2,1.386294361
1400,"If mid-field players are on it, give it to him.",give,give,him,a,it,i,,VB,7,,IN,PRON,10,PRP,PRON,8,to,9,12,dative,alternating,"If mid-field players are on it, give him it.",ADP,1,1,0
1431,"But Athens gave the Games to the world, and we're looking at the next one hundred years and if the I O C wants to do something special with Athens in ‘96 and if Athens wants to do it, we assure them that Atlanta will support that effort one hundred per cent.",give,gave,the world,i,the games,i,,VBD,2,athens,IN,,6,NNPS,PROPN,3,to,5,57,dative,alternating,"But Athens gave the world the Games, and we're looking at the next one hundred years and if the I O C wants to do something special with Athens in ‘96 and if Athens wants to do it, we assure them that Atlanta will support that effort one hundred per cent.",ADP,2,2,0
1472,"Deep in the basement of the Foreign Office, a team of junior diplomats is on hand to answer queries and give advice to people returning from Iraq and Kuwait.",give,give,people returning from iraq and kuwait,a,advice,i,,VB,21,,IN,,24,NN,NOUN,22,to,23,31,dative,alternating,"Deep in the basement of the Foreign Office, a team of junior diplomats is on hand to answer queries and give people returning from iraq and kuwait advice.",ADP,6,1,1.791759469
1511,Still to come: Oxfam pays tribute to Jordan's help for refugees from Iraq.,pay,pays,jordan's help for refugees from iraq,i,tribute,i,,VBZ,5,oxfam,IN,,8,NN,NOUN,6,to,7,16,prep,alternating,Still to come: Oxfam pays jordan's help for refugees from iraq tribute.,ADP,6,1,1.791759469
1526,Joe Johnson is the man responsible for bringing the gendarmes to Oxford Sandhills school.,bring,bringing,oxford sandhills school,i,the gendarmes,a,,VBG,7,,IN,,11,NNS,NOUN,8,to,10,15,prep,alternating,Joe Johnson is the man responsible for bringing oxford sandhills school the gendarmes.,ADP,3,2,0.4054651081
1536,"People have been very generous in the parish and the village, obviously they think a lot of their church, but one suggestion that was put forward was if every man, woman and child gave the equivalent of twelve pounds to the fund then it would be raised easily, and I think that it's quite likely that people will come forward er in a generous way I'm sure.",give,gave,the fund,i,the equivalent of twelve pounds,i,,VBD,36,"every man , woman and child",IN,,43,NN,NOUN,37,to,42,74,dative,alternating,"People have been very generous in the parish and the village, obviously they think a lot of their church, but one suggestion that was put forward was if every man, woman and child gave the fund the equivalent of twelve pounds then it would be raised easily, and I think that it's quite likely that people will come forward er in a generous way I'm sure.",ADP,2,5,-0.9162907319
1566,"It's mine, I was just gonna give it to you.",give,give,you,a,it,i,,VB,9,,IN,PRON,12,PRP,PRON,10,to,11,14,prep,alternating,"It's mine, I was just gonna give you it.",ADP,1,1,0
1604,"erm Now, perhaps we come back to what can we do at this end, and I think Friends of the Earth has done an excellent job in bringing it to peoples' attention that large areas of tropical forest are being destroyed at roughly the rate of 0. 7 or 0. 8 percent of the forest each year, erm and they, you know I'm in agreement with them on the fact that forest is disappearing, it's dangerous in many places, it's catastrophic in some, for instance, particularly in West Africa, the clearing that's gone on in the Ivory Coast is pretty disastrous, and erm there are indications that the West African strip of forest along the strip of the West African Coast by removing that you're going to make not only that area slightly drier, but mainly the northern areas of those countries, and the  drier, so it may well affect climate.",bring,bringing,peoples ' attention,i,it,i,,VBG,29,,IN,,32,PRP,PRON,30,to,31,174,prep,alternating,"erm Now, perhaps we come back to what can we do at this end, and I think Friends of the Earth has done an excellent job in bringing peoples ' attention it that large areas of tropical forest are being destroyed at roughly the rate of 0. 7 or 0. 8 percent of the forest each year, erm and they, you know I'm in agreement with them on the fact that forest is disappearing, it's dangerous in many places, it's catastrophic in some, for instance, particularly in West Africa, the clearing that's gone on in the Ivory Coast is pretty disastrous, and erm there are indications that the West African strip of forest along the strip of the West African Coast by removing that you're going to make not only that area slightly drier, but mainly the northern areas of those countries, and the  drier, so it may well affect climate.",ADP,2,1,0.6931471806
1673,"Oh, gonna show this to Peter now.",show,show,peter,a,this,i,,VB,4,,IN,,7,DT,PRON,5,to,6,10,dative,alternating,"Oh, gonna show peter this now.",ADP,1,1,0
1697,Janet gave it to Frank for Christmas.,give,gave,frank,a,it,i,,VBD,1,janet,IN,,4,PRP,PRON,2,to,3,8,dative,alternating,Janet gave frank it for Christmas.,ADP,1,1,0
1701,play a song for me,play,play,me,a,a song,i,,VB,0,,IN,PRON,4,NN,NOUN,1,for,3,5,dative,benefactive_alternating,play me a song,ADP,1,2,-0.6931471806
1807,"and you have your agenda, will you fill it in and send it to me?",send,send,me,a,it,i,,VB,12,,IN,PRON,15,PRP,PRON,13,to,14,17,dative,alternating,"and you have your agenda, will you fill it in and send me it?",ADP,1,1,0
1841,Give them to me and I'll.,give,Give,me,a,them,i,,VB,0,,IN,PRON,3,PRP,PRON,1,to,2,8,prep,alternating,Give me them and I'll.,ADP,1,1,0
1871,"Mind you, I'll give that one to our Carl.",give,give,our carl,a,that one,i,,VB,5,i,IN,,9,NN,NOUN,6,to,8,12,prep,alternating,"Mind you, I'll give our carl that one.",ADP,2,2,0
1877,"So I said oh well, I said er  if you we really want to get the nitty-gritties I said you know we didn't receive a Christmas card from you I said but we sent them to you.",send,sent,you,a,them,i,,VBD,36,we,IN,PRON,39,PRP,PRON,37,to,38,41,dative,alternating,"So I said oh well, I said er  if you we really want to get the nitty-gritties I said you know we didn't receive a Christmas card from you I said but we sent you them.",ADP,1,1,0
1931,There's me thinking oh well I will give it to her cos,give,give,her,a,it,i,,VB,8,i,IN,PRON,11,PRP,PRON,9,to,10,13,prep,alternating,There's me thinking oh well I will give her it cos,ADP,1,1,0
1973,Oh  I'm getting a cold here and I'm  ha but I hope I've given it to Pete  you watch!,give,given,pete,a,it,i,,VBN,18,i,IN,,21,PRP,PRON,19,to,20,26,dative,alternating,Oh  I'm getting a cold here and I'm  ha but I hope I've given pete it  you watch!,ADP,1,1,0
2049,"Now if, hopefully, the people of Iraqui see that their whole country is now being subjected to such much devastating attacks, hopefully that they would overthrow their regime, because that regime has brought nothing but misery to the people of Iraq and has added to the catalogue of misery of the world.",bring,brought,the people of iraq,a,nothing but misery,i,,VBN,36,that regime,IN,,41,NN,PRON,37,to,40,57,prep,alternating,"Now if, hopefully, the people of Iraqui see that their whole country is now being subjected to such much devastating attacks, hopefully that they would overthrow their regime, because that regime has brought the people of iraq nothing but misery and has added to the catalogue of misery of the world.",ADP,4,3,0.2876820725
2084,I mean I think  it's bot of a parallel with the business of kind of giving money to charity to  to help people who haven't got enough to eat.,give,giving,charity,i,money,i,,VBG,17,,IN,,20,NN,NOUN,18,to,19,34,dative,alternating,I mean I think  it's bot of a parallel with the business of kind of giving charity money to  to help people who haven't got enough to eat.,ADP,1,1,0
2085,"We've sent letters to everybody, the Home Office, everywhere, and  to say why have they put it up in the middle of an estate.",send,sent,"everybody , the home office , everywhere",a,letters,i,,VBN,2,we,IN,,5,NNS,NOUN,3,to,4,30,dative,alternating,"We've sent everybody, the home office, everywhere letters, and  to say why have they put it up in the middle of an estate.",ADP,5,1,1.609437912
2128,It's open every morning and every evening erm and we give hot drinks and sandwiches to anyone who comes.,give,give,anyone who comes,a,hot drinks and sandwiches,i,,VBP,11,we,IN,,17,NNS,NOUN,12,to,16,21,dative,alternating,It's open every morning and every evening erm and we give anyone who comes hot drinks and sandwiches.,ADP,3,4,-0.2876820725
2179,I mean politicians pay a great heed to the people they erm seek advice from.,pay,pay,the people they erm seek advice from,a,a great heed,i,,VBP,3,politicians,IN,,8,NN,NOUN,4,to,7,16,prep,alternating,I mean politicians pay the people they erm seek advice from a great heed.,ADP,7,3,0.8472978604
2243,"I mean erm  them solicitors sent a letter to him  we had a copy come here but erm, he's gotta pay her fifty pound a week.",send,sent,him,a,a letter,i,,VBD,6,them solicitors,IN,PRON,10,NN,NOUN,7,to,9,32,dative,alternating,"I mean erm  them solicitors sent him a letter  we had a copy come here but erm, he's gotta pay her fifty pound a week.",ADP,1,2,-0.6931471806
2248,And would you write my letters for him?,write,write,him,a,my letters,i,,VB,3,you,IN,PRON,7,NNS,NOUN,4,for,6,9,dative,benefactive_alternating,And would you write him my letters?,ADP,1,2,-0.6931471806
2300,and we may not be able to show it to you.,show,show,you,a,it,i,,VB,7,,IN,PRON,10,PRP,PRON,8,to,9,12,dative,alternating,and we may not be able to show you it.,ADP,1,1,0
2367,they send the report to me.,send,send,me,a,the report,i,,VBP,1,they,IN,PRON,5,NN,NOUN,2,to,4,7,dative,alternating,they send me the report.,ADP,1,2,-0.6931471806
2396,"free to come and go and er there is a contribution that's held at the back, but here in, in the talk it's highlighting their various ways, this is one of them that we can keep spiritually awake is by being aware of the need for financial contributions, Jehovah has done much for us through his organization and we can show love for him by full support with our time and finances and then another one look  stay awake by showing love to you and act loyal  sometimes it's easier to show love to some in the congregation than others, we naturally have an affinity for one another and certain types of personalities seemed to gel with others don't they?",show,showing,you,a,love,i,,VBG,87,,IN,PRON,90,NN,NOUN,88,to,89,132,dative,alternating,"free to come and go and er there is a contribution that's held at the back, but here in, in the talk it's highlighting their various ways, this is one of them that we can keep spiritually awake is by being aware of the need for financial contributions, Jehovah has done much for us through his organization and we can show love for him by full support with our time and finances and then another one look  stay awake by showing you love and act loyal  sometimes it's easier to show love to some in the congregation than others, we naturally have an affinity for one another and certain types of personalities seemed to gel with others don't they?",ADP,1,1,0
2397,"free to come and go and er there is a contribution that's held at the back, but here in, in the talk it's highlighting their various ways, this is one of them that we can keep spiritually awake is by being aware of the need for financial contributions, Jehovah has done much for us through his organization and we can show love for him by full support with our time and finances and then another one look  stay awake by showing love to you and act loyal  sometimes it's easier to show love to some in the congregation than others, we naturally have an affinity for one another and certain types of personalities seemed to gel with others don't they?",show,show,some in the congregation,a,love,i,,VB,100,,IN,,103,NN,NOUN,101,to,102,132,dative,alternating,"free to come and go and er there is a contribution that's held at the back, but here in, in the talk it's highlighting their various ways, this is one of them that we can keep spiritually awake is by being aware of the need for financial contributions, Jehovah has done much for us through his organization and we can show love for him by full support with our time and finances and then another one look  stay awake by showing love to you and act loyal  sometimes it's easier to show some in the congregation love than others, we naturally have an affinity for one another and certain types of personalities seemed to gel with others don't they?",ADP,4,1,1.386294361
2503,"Oh, we could have give that one to Reg as well but it's a bit busted up.",give,give,reg,a,that one,i,,VB,5,we,IN,,9,NN,NOUN,6,to,8,20,dative,alternating,"Oh, we could have give reg that one as well but it's a bit busted up.",ADP,1,2,-0.6931471806
2511,"I'll read it to you then, if you don't want to read it.",read,read,you,a,it,i,,VB,2,i,IN,PRON,5,PRP,PRON,3,to,4,17,dative,alternating,"I'll read you it then, if you don't want to read it.",ADP,1,1,0
2524,"No it's just that they take ages and ages and ages cos Dundee will ask Nottingham, Nottingham will ask us to bring the notes back, then we'll send them to Nottingham, Nottingham will send them to Dundee, Dundee will send them to your G P.",send,send,your g p.,a,them,i,,VB,45,dundee,IN,,48,PRP,PRON,46,to,47,51,prep,alternating,"No it's just that they take ages and ages and ages cos Dundee will ask Nottingham, Nottingham will ask us to bring the notes back, then we'll send them to Nottingham, Nottingham will send them to Dundee, Dundee will send your g p. them ",ADP,3,1,1.098612289
2556,"Just leave that, cos she'll save it for you.",save,save,you,a,it,i,,VB,7,she,IN,PRON,10,PRP,PRON,8,for,9,12,dative,benefactive_alternating,"Just leave that, cos she'll save you it.",ADP,1,1,0
2586,"If you leave that drawer open, I think there's more pyjamas to come  so I'll get them for you.",get,get,you,a,them,i,,VB,19,i,IN,PRON,22,PRP,PRON,20,for,21,24,dative,benefactive_alternating,"If you leave that drawer open, I think there's more pyjamas to come  so I'll get you them.",ADP,1,1,0
2627,Are you going to give it to Cider?,give,give,cider,a,it,i,,VB,4,,IN,,7,PRP,PRON,5,to,6,9,prep,alternating,Are you going to give cider it?,ADP,1,1,0
2648,Mummy dropped it when she was giving it to me.,give,giving,me,a,it,i,,VBG,6,she,IN,PRON,9,PRP,PRON,7,to,8,11,dative,alternating,Mummy dropped it when she was giving me it.,ADP,1,1,0
